fixtureId,competition,competitionTier,season,round,status,date,time,stadium,homeId,homeTeam,homeScore,awayScore,awayId,awayTeam,note
TIER_ONE-2021-1-NAD-HAN,V.League 1,TIER_ONE,2021,1,FINISHED,2021-01-15,18:00,Thiên Trường,NAD,Nam Định,3,0,HAN,Hà Nội,
TIER_ONE-2021-1-NAN-BIDI,V.League 1,TIER_ONE,2021,1,FINISHED,2021-01-16,17:00,Vinh,NAN,Sông Lam Nghệ An,1,1,BIDI,Topenland Bình Định,
TIER_ONE-2021-1-BIDU-THH,V.League 1,TIER_ONE,2021,1,FINISHED,2021-01-16,17:00,Bình Dương,BIDU,Becamex Bình Dương,1,0,THH,Đông Á Thanh Hóa,
TIER_ONE-2021-1-VTL-HAP,V.League 1,TIER_ONE,2021,1,FINISHED,2021-01-16,19:15,Hàng Đẫy,VTL,Viettel,0,1,HAP,Hải Phòng,
TIER_ONE-2021-1-DAN-HCM,V.League 1,TIER_ONE,2021,1,FINISHED,2021-01-17,17:00,Hòa Xuân,DAN,SHB Đà Nẵng,1,0,HCM,TP Hồ Chí Minh,
TIER_ONE-2021-1-HAT-QNI,V.League 1,TIER_ONE,2021,1,FINISHED,2021-01-17,18:00,Hà Tĩnh,HAT,Hồng Lĩnh Hà Tĩnh,1,2,QNI,Than Quảng Ninh,
TIER_ONE-2021-1-SGO-GLA,V.League 1,TIER_ONE,2021,1,FINISHED,2021-01-17,19:15,Thống Nhất,SGO,Sài Gòn,1,0,GLA,Hoàng Anh Gia Lai,
TIER_ONE-2021-2-GLA-NAN,V.League 1,TIER_ONE,2021,2,FINISHED,2021-01-22,17:00,Pleiku,GLA,Hoàng Anh Gia Lai,2,1,NAN,Sông Lam Nghệ An,
TIER_ONE-2021-2-BIDI-SGO,V.League 1,TIER_ONE,2021,2,FINISHED,2021-01-23,17:00,19/8 Nha Trang,BIDI,Topenland Bình Định,1,0,SGO,Sài Gòn,
TIER_ONE-2021-2-HAP-NAD,V.League 1,TIER_ONE,2021,2,FINISHED,2021-01-23,18:00,Lạch Tray,HAP,Hải Phòng,3,2,NAD,Nam Định,
TIER_ONE-2021-2-HAN-BIDU,V.League 1,TIER_ONE,2021,2,FINISHED,2021-01-23,19:15,Hàng Đẫy,HAN,Hà Nội,1,2,BIDU,Becamex Bình Dương,
TIER_ONE-2021-2-THH-VTL,V.League 1,TIER_ONE,2021,2,FINISHED,2021-01-24,17:00,Thanh Hóa,THH,Đông Á Thanh Hóa,0,0,VTL,Viettel,
TIER_ONE-2021-2-QNI-DAN,V.League 1,TIER_ONE,2021,2,FINISHED,2021-01-24,18:00,Cẩm Phả,QNI,Than Quảng Ninh,0,1,DAN,SHB Đà Nẵng,
TIER_ONE-2021-2-HCM-HAT,V.League 1,TIER_ONE,2021,2,FINISHED,2021-01-24,19:15,Thống Nhất,HCM,TP Hồ Chí Minh,2,0,HAT,Hồng Lĩnh Hà Tĩnh,
TIER_ONE-2021-3-THH-NAD,V.League 1,TIER_ONE,2021,3,FINISHED,2021-01-30,17:00,Thanh Hóa,THH,Đông Á Thanh Hóa,3,0,NAD,Nam Định,
TIER_ONE-2021-3-SGO-NAN,V.League 1,TIER_ONE,2021,3,FINISHED,2021-01-30,19:15,Thống Nhất,SGO,Sài Gòn,1,0,NAN,Sông Lam Nghệ An,
TIER_ONE-2021-3-DAN-HAT,V.League 1,TIER_ONE,2021,3,FINISHED,2021-03-13,17:00,Hòa Xuân,DAN,SHB Đà Nẵng,1,0,HAT,Hồng Lĩnh Hà Tĩnh,
TIER_ONE-2021-3-HAP-HAN,V.League 1,TIER_ONE,2021,3,FINISHED,2021-03-13,18:00,Lạch Tray,HAP,Hải Phòng,0,2,HAN,Hà Nội,
TIER_ONE-2021-3-GLA-BIDI,V.League 1,TIER_ONE,2021,3,FINISHED,2021-03-14,17:00,Pleiku,GLA,Hoàng Anh Gia Lai,2,1,BIDI,Topenland Bình Định,
TIER_ONE-2021-3-QNI-HCM,V.League 1,TIER_ONE,2021,3,FINISHED,2021-03-14,18:00,Cẩm Phả,QNI,Than Quảng Ninh,2,0,HCM,TP Hồ Chí Minh,
TIER_ONE-2021-3-VTL-BIDU,V.League 1,TIER_ONE,2021,3,FINISHED,2021-03-14,19:15,Hàng Đẫy,VTL,Viettel,3,1,BIDU,Becamex Bình Dương,
TIER_ONE-2021-4-NAN-QNI,V.League 1,TIER_ONE,2021,4,FINISHED,2021-03-18,17:00,Vinh,NAN,Sông Lam Nghệ An,1,0,QNI,Than Quảng Ninh,
TIER_ONE-2021-4-HAN-THH,V.League 1,TIER_ONE,2021,4,FINISHED,2021-03-19,19:15,Hàng Đẫy,HAN,Hà Nội,3,2,THH,Đông Á Thanh Hóa,
TIER_ONE-2021-4-BIDI-DAN,V.League 1,TIER_ONE,2021,4,FINISHED,2021-03-19,17:00,Quy Nhơn,BIDI,Topenland Bình Định,1,0,DAN,SHB Đà Nẵng,
