fixtureId,competition,competitionTier,season,round,status,date,time,stadium,homeId,homeTeam,homeScore,awayScore,awayId,awayTeam,note
TIER_ONE-2013-1-HAN-GLA,V.League 1,TIER_ONE,2013,1,FINISHED,2013-03-02,16:00,Hàng Đẫy,HAN,Hà Nội,2,0,GLA,Hoàng Anh Gia Lai,
TIER_ONE-2013-1-LAN-THH,V.League 1,TIER_ONE,2013,1,FINISHED,2013-03-02,16:30,Long An,LAN,Long An,1,1,THH,Đông Á Thanh Hóa,
TIER_ONE-2013-1-DON-NIB,V.League 1,TIER_ONE,2013,1,FINISHED,2013-03-03,16:00,,DON,Đồng Nai,1,0,NIB,XM The Vissai Ninh Bình,
TIER_ONE-2013-1-DAN-KLKG,V.League 1,TIER_ONE,2013,1,FINISHED,2013-03-03,16:30,Hòa Xuân,DAN,SHB Đà Nẵng,2,0,KLKG,Kienlongbank Kiên Giang,
TIER_ONE-2013-1-NAN-HAP,V.League 1,TIER_ONE,2013,1,FINISHED,2013-03-03,17:00,Vinh,NAN,Sông Lam Nghệ An,2,1,HAP,Hải Phòng,
TIER_ONE-2013-2-KLKG-NAN,V.League 1,TIER_ONE,2013,2,FINISHED,2013-03-09,16:00,Kiên Giang,KLKG,Kienlongbank Kiên Giang,1,4,NAN,Sông Lam Nghệ An,
TIER_ONE-2013-2-BIDU-DAN,V.League 1,TIER_ONE,2013,2,FINISHED,2013-03-09,17:00,Bình Dương,BIDU,Becamex Bình Dương,0,2,DAN,SHB Đà Nẵng,
TIER_ONE-2013-2-NIB-HAN,V.League 1,TIER_ONE,2013,2,FINISHED,2013-03-09,17:00,Ninh Bình,NIB,XM The Vissai Ninh Bình,2,0,HAN,Hà Nội,
TIER_ONE-2013-2-THH-DON,V.League 1,TIER_ONE,2013,2,FINISHED,2013-03-10,16:00,Thanh Hóa,THH,Đông Á Thanh Hóa,4,1,DON,Đồng Nai,
TIER_ONE-2013-2-GLA-LAN,V.League 1,TIER_ONE,2013,2,FINISHED,2013-03-10,16:00,Pleiku,GLA,Hoàng Anh Gia Lai,2,0,LAN,Long An,
TIER_ONE-2013-3-THH-GLA,V.League 1,TIER_ONE,2013,3,FINISHED,2013-03-30,16:00,Thanh Hóa,THH,Đông Á Thanh Hóa,1,0,GLA,Hoàng Anh Gia Lai,
TIER_ONE-2013-3-HAP-KLKG,V.League 1,TIER_ONE,2013,3,FINISHED,2013-03-30,16:00,Lạch Tray,HAP,Hải Phòng,3,0,KLKG,Kienlongbank Kiên Giang,
TIER_ONE-2013-3-HAN-DON,V.League 1,TIER_ONE,2013,3,FINISHED,2013-03-30,16:00,Hàng Đẫy,HAN,Hà Nội,6,1,DON,Đồng Nai,
TIER_ONE-2013-3-LAN-NIB,V.League 1,TIER_ONE,2013,3,FINISHED,2013-03-30,16:30,Long An,LAN,Long An,2,1,NIB,XM The Vissai Ninh Bình,
TIER_ONE-2013-3-NAN-BIDU,V.League 1,TIER_ONE,2013,3,FINISHED,2013-03-30,17:00,Vinh,NAN,Sông Lam Nghệ An,3,2,BIDU,Becamex Bình Dương,
TIER_ONE-2013-4-NIB-THH,V.League 1,TIER_ONE,2013,4,FINISHED,2013-04-06,16:00,Ninh Bình,NIB,XM The Vissai Ninh Bình,3,3,THH,Đông Á Thanh Hóa,
TIER_ONE-2013-4-BIDU-HAP,V.League 1,TIER_ONE,2013,4,FINISHED,2013-04-06,17:00,Bình Dương,BIDU,Becamex Bình Dương,0,2,HAP,Hải Phòng,
TIER_ONE-2013-4-HAN-NAN,V.League 1,TIER_ONE,2013,4,FINISHED,2013-04-07,16:00,Hàng Đẫy,HAN,Hà Nội,2,2,NAN,Sông Lam Nghệ An,
TIER_ONE-2013-4-DON-GLA,V.League 1,TIER_ONE,2013,4,FINISHED,2013-04-07,16:00,,DON,Đồng Nai,2,2,GLA,Hoàng Anh Gia Lai,
TIER_ONE-2013-4-GLA-BIDU,V.League 1,TIER_ONE,2013,4,FINISHED,2013-04-13,16:00,Pleiku,GLA,Hoàng Anh Gia Lai,2,0,BIDU,Becamex Bình Dương,
TIER_ONE-2013-5-KLKG-NIB,V.League 1,TIER_ONE,2013,5,FINISHED,2013-04-13,16:30,Kiên Giang,KLKG,Kienlongbank Kiên Giang,2,2,NIB,XM The Vissai Ninh Bình,
TIER_ONE-2013-5-THH-HAN,V.League 1,TIER_ONE,2013,5,FINISHED,2013-04-13,17:00,Thanh Hóa,THH,Đông Á Thanh Hóa,1,3,HAN,Hà Nội,
TIER_ONE-2013-5-HAP-DAN,V.League 1,TIER_ONE,2013,5,FINISHED,2013-04-14,16:00,Lạch Tray,HAP,Hải Phòng,1,0,DAN,SHB Đà Nẵng,
TIER_ONE-2013-5-LAN-DON,V.League 1,TIER_ONE,2013,5,FINISHED,2013-04-14,16:30,Long An,LAN,Long An,1,3,DON,Đồng Nai,
TIER_ONE-2013-5-DAN-HAN,V.League 1,TIER_ONE,2013,5,FINISHED,2013-04-19,16:30,Hòa Xuân,DAN,SHB Đà Nẵng,1,0,HAN,Hà Nội,
TIER_ONE-2013-6-NIB-BIDU,V.League 1,TIER_ONE,2013,6,FINISHED,2013-04-20,16:00,Ninh Bình,NIB,XM The Vissai Ninh Bình,2,2,BIDU,Becamex Bình Dương,
TIER_ONE-2013-6-GLA-KLKG,V.League 1,TIER_ONE,2013,6,FINISHED,2013-04-20,16:00,Pleiku,GLA,Hoàng Anh Gia Lai,2,1,KLKG,Kienlongbank Kiên Giang,
TIER_ONE-2013-6-LAN-NAN,V.League 1,TIER_ONE,2013,6,FINISHED,2013-04-20,16:30,Long An,LAN,Long An,1,3,NAN,Sông Lam Nghệ An,
TIER_ONE-2013-6-THH-HAP,V.League 1,TIER_ONE,2013,6,FINISHED,2013-04-20,17:00,Thanh Hóa,THH,Đông Á Thanh Hóa,2,2,HAP,Hải Phòng,
TIER_ONE-2013-6-KLKG-LAN,V.League 1,TIER_ONE,2013,6,FINISHED,2013-05-04,16:00,Kiên Giang,KLKG,Kienlongbank Kiên Giang,3,2,LAN,Long An,
TIER_ONE-2013-7-GLA-NAN,V.League 1,TIER_ONE,2013,7,FINISHED,2013-05-04,16:00,Pleiku,GLA,Hoàng Anh Gia Lai,2,1,NAN,Sông Lam Nghệ An,
TIER_ONE-2013-7-DON-HAP,V.League 1,TIER_ONE,2013,7,FINISHED,2013-05-04,16:00,,DON,Đồng Nai,2,2,HAP,Hải Phòng,
TIER_ONE-2013-7-NIB-DAN,V.League 1,TIER_ONE,2013,7,FINISHED,2013-05-05,16:00,Ninh Bình,NIB,XM The Vissai Ninh Bình,4,1,DAN,SHB Đà Nẵng,
TIER_ONE-2013-7-BIDU-HAN,V.League 1,TIER_ONE,2013,7,FINISHED,2013-05-05,17:00,Bình Dương,BIDU,Becamex Bình Dương,3,1,HAN,Hà Nội,
TIER_ONE-2013-7-LAN-HAP,V.League 1,TIER_ONE,2013,7,FINISHED,2013-05-10,16:30,Long An,LAN,Long An,1,2,HAP,Hải Phòng,
TIER_ONE-2013-8-THH-NAN,V.League 1,TIER_ONE,2013,8,FINISHED,2013-05-11,17:00,Thanh Hóa,THH,Đông Á Thanh Hóa,2,1,NAN,Sông Lam Nghệ An,
TIER_ONE-2013-8-HAN-KLKG,V.League 1,TIER_ONE,2013,8,FINISHED,2013-05-12,16:00,Hàng Đẫy,HAN,Hà Nội,5,0,KLKG,Kienlongbank Kiên Giang,
TIER_ONE-2013-8-DON-BIDU,V.League 1,TIER_ONE,2013,8,FINISHED,2013-05-12,16:00,,DON,Đồng Nai,1,2,BIDU,Becamex Bình Dương,
TIER_ONE-2013-8-KLKG-BIDU,V.League 1,TIER_ONE,2013,8,FINISHED,2013-05-18,16:00,Kiên Giang,KLKG,Kienlongbank Kiên Giang,4,2,BIDU,Becamex Bình Dương,
TIER_ONE-2013-8-GLA-NIB,V.League 1,TIER_ONE,2013,8,FINISHED,2013-05-18,16:00,Pleiku,GLA,Hoàng Anh Gia Lai,2,0,NIB,XM The Vissai Ninh Bình,
TIER_ONE-2013-9-NAN-DON,V.League 1,TIER_ONE,2013,9,FINISHED,2013-05-18,17:00,Vinh,NAN,Sông Lam Nghệ An,1,1,DON,Đồng Nai,
TIER_ONE-2013-9-HAP-HAN,V.League 1,TIER_ONE,2013,9,FINISHED,2013-05-19,17:00,Lạch Tray,HAP,Hải Phòng,2,3,HAN,Hà Nội,
TIER_ONE-2013-9-THH-DAN,V.League 1,TIER_ONE,2013,9,FINISHED,2013-05-19,17:00,Thanh Hóa,THH,Đông Á Thanh Hóa,2,2,DAN,SHB Đà Nẵng,
TIER_ONE-2013-9-DAN-LAN,V.League 1,TIER_ONE,2013,9,FINISHED,2013-05-23,16:30,Hòa Xuân,DAN,SHB Đà Nẵng,2,0,LAN,Long An,
TIER_ONE-2013-9-DON-KLKG,V.League 1,TIER_ONE,2013,9,FINISHED,2013-05-25,16:00,,DON,Đồng Nai,1,2,KLKG,Kienlongbank Kiên Giang,
TIER_ONE-2013-10-NIB-HAP,V.League 1,TIER_ONE,2013,10,FINISHED,2013-05-25,17:00,Ninh Bình,NIB,XM The Vissai Ninh Bình,3,2,HAP,Hải Phòng,
TIER_ONE-2013-10-BIDU-THH,V.League 1,TIER_ONE,2013,10,FINISHED,2013-05-26,17:00,Bình Dương,BIDU,Becamex Bình Dương,3,4,THH,Đông Á Thanh Hóa,
TIER_ONE-2013-10-DAN-NAN,V.League 1,TIER_ONE,2013,10,FINISHED,2013-05-27,16:30,Hòa Xuân,DAN,SHB Đà Nẵng,3,2,NAN,Sông Lam Nghệ An,
TIER_ONE-2013-10-HAN-LAN,V.League 1,TIER_ONE,2013,10,FINISHED,2013-05-28,17:00,Hàng Đẫy,HAN,Hà Nội,4,1,LAN,Long An,
TIER_ONE-2013-10-DAN-BIDU,V.League 1,TIER_ONE,2013,10,FINISHED,2013-06-15,16:30,Hòa Xuân,DAN,SHB Đà Nẵng,1,1,BIDU,Becamex Bình Dương,
TIER_ONE-2013-11-NAN-KLKG,V.League 1,TIER_ONE,2013,11,FINISHED,2013-06-15,18:00,Vinh,NAN,Sông Lam Nghệ An,2,2,KLKG,Kienlongbank Kiên Giang,
TIER_ONE-2013-11-DON-THH,V.League 1,TIER_ONE,2013,11,FINISHED,2013-06-16,16:00,,DON,Đồng Nai,2,1,THH,Đông Á Thanh Hóa,
TIER_ONE-2013-11-HAN-NIB,V.League 1,TIER_ONE,2013,11,FINISHED,2013-06-16,17:00,Hàng Đẫy,HAN,Hà Nội,1,0,NIB,XM The Vissai Ninh Bình,
TIER_ONE-2013-11-LAN-GLA,V.League 1,TIER_ONE,2013,11,FINISHED,2013-06-16,17:00,Long An,LAN,Long An,1,0,GLA,Hoàng Anh Gia Lai,
TIER_ONE-2013-11-KLKG-DAN,V.League 1,TIER_ONE,2013,11,FINISHED,2013-06-22,16:00,Kiên Giang,KLKG,Kienlongbank Kiên Giang,0,1,DAN,SHB Đà Nẵng,
TIER_ONE-2013-12-GLA-HAN,V.League 1,TIER_ONE,2013,12,FINISHED,2013-06-22,16:00,Pleiku,GLA,Hoàng Anh Gia Lai,1,1,HAN,Hà Nội,
TIER_ONE-2013-12-NIB-DON,V.League 1,TIER_ONE,2013,12,FINISHED,2013-06-23,17:00,Ninh Bình,NIB,XM The Vissai Ninh Bình,1,1,DON,Đồng Nai,
TIER_ONE-2013-12-THH-LAN,V.League 1,TIER_ONE,2013,12,FINISHED,2013-06-23,17:00,Thanh Hóa,THH,Đông Á Thanh Hóa,3,1,LAN,Long An,
TIER_ONE-2013-12-HAP-NAN,V.League 1,TIER_ONE,2013,12,FINISHED,2013-06-25,17:00,Lạch Tray,HAP,Hải Phòng,1,1,NAN,Sông Lam Nghệ An,
TIER_ONE-2013-12-DAN-GLA,V.League 1,TIER_ONE,2013,12,FINISHED,2013-06-26,16:30,Hòa Xuân,DAN,SHB Đà Nẵng,1,1,GLA,Hoàng Anh Gia Lai,
TIER_ONE-2013-13-HAP-THH,V.League 1,TIER_ONE,2013,13,FINISHED,2013-06-29,17:00,Lạch Tray,HAP,Hải Phòng,1,1,THH,Đông Á Thanh Hóa,
TIER_ONE-2013-13-KLKG-GLA,V.League 1,TIER_ONE,2013,13,FINISHED,2013-06-30,16:00,Kiên Giang,KLKG,Kienlongbank Kiên Giang,0,3,GLA,Hoàng Anh Gia Lai,
TIER_ONE-2013-13-HAN-DAN,V.League 1,TIER_ONE,2013,13,FINISHED,2013-06-30,17:00,Hàng Đẫy,HAN,Hà Nội,1,2,DAN,SHB Đà Nẵng,
TIER_ONE-2013-13-BIDU-NIB,V.League 1,TIER_ONE,2013,13,FINISHED,2013-06-30,17:00,Bình Dương,BIDU,Becamex Bình Dương,0,0,NIB,XM The Vissai Ninh Bình,
TIER_ONE-2013-13-NAN-LAN,V.League 1,TIER_ONE,2013,13,FINISHED,2013-06-30,18:00,Vinh,NAN,Sông Lam Nghệ An,8,0,LAN,Long An,
TIER_ONE-2013-14-GLA-HAP,V.League 1,TIER_ONE,2013,14,FINISHED,2013-07-06,16:00,Pleiku,GLA,Hoàng Anh Gia Lai,1,0,HAP,Hải Phòng,
TIER_ONE-2013-14-DAN-DON,V.League 1,TIER_ONE,2013,14,FINISHED,2013-07-06,16:30,Hòa Xuân,DAN,SHB Đà Nẵng,0,0,DON,Đồng Nai,
TIER_ONE-2013-14-THH-KLKG,V.League 1,TIER_ONE,2013,14,FINISHED,2013-07-06,17:00,Thanh Hóa,THH,Đông Á Thanh Hóa,4,2,KLKG,Kienlongbank Kiên Giang,
TIER_ONE-2013-14-LAN-BIDU,V.League 1,TIER_ONE,2013,14,FINISHED,2013-07-07,17:00,Long An,LAN,Long An,2,5,BIDU,Becamex Bình Dương,
TIER_ONE-2013-14-NIB-NAN,V.League 1,TIER_ONE,2013,14,FINISHED,2013-07-07,17:00,Ninh Bình,NIB,XM The Vissai Ninh Bình,1,1,NAN,Sông Lam Nghệ An,
TIER_ONE-2013-15-KLKG-HAN,V.League 1,TIER_ONE,2013,15,FINISHED,2013-07-20,16:00,Kiên Giang,KLKG,Kienlongbank Kiên Giang,1,1,HAN,Hà Nội,
TIER_ONE-2013-15-GLA-DAN,V.League 1,TIER_ONE,2013,15,FINISHED,2013-07-20,16:00,Pleiku,GLA,Hoàng Anh Gia Lai,2,2,DAN,SHB Đà Nẵng,
TIER_ONE-2013-15-BIDU-DON,V.League 1,TIER_ONE,2013,15,FINISHED,2013-07-20,17:00,Bình Dương,BIDU,Becamex Bình Dương,1,1,DON,Đồng Nai,
TIER_ONE-2013-15-HAP-LAN,V.League 1,TIER_ONE,2013,15,FINISHED,2013-07-21,17:00,Lạch Tray,HAP,Hải Phòng,3,4,LAN,Long An,
TIER_ONE-2013-15-NAN-THH,V.League 1,TIER_ONE,2013,15,FINISHED,2013-07-21,18:00,Vinh,NAN,Sông Lam Nghệ An,2,0,THH,Đông Á Thanh Hóa,
TIER_ONE-2013-16-DON-DAN,V.League 1,TIER_ONE,2013,16,FINISHED,2013-07-24,16:00,,DON,Đồng Nai,4,1,DAN,SHB Đà Nẵng,
TIER_ONE-2013-16-KLKG-THH,V.League 1,TIER_ONE,2013,16,FINISHED,2013-07-27,16:00,Kiên Giang,KLKG,Kienlongbank Kiên Giang,2,2,THH,Đông Á Thanh Hóa,
TIER_ONE-2013-16-HAP-GLA,V.League 1,TIER_ONE,2013,16,FINISHED,2013-07-27,16:00,Lạch Tray,HAP,Hải Phòng,0,1,GLA,Hoàng Anh Gia Lai,
TIER_ONE-2013-16-LAN-KLKG,V.League 1,TIER_ONE,2013,16,FINISHED,2013-07-27,17:00,Long An,LAN,Long An,3,2,KLKG,Kienlongbank Kiên Giang,
TIER_ONE-2013-16-NAN-GLA,V.League 1,TIER_ONE,2013,16,FINISHED,2013-07-27,18:00,Vinh,NAN,Sông Lam Nghệ An,1,0,GLA,Hoàng Anh Gia Lai,
