fixtureId,competition,competitionTier,season,round,status,date,time,stadium,homeId,homeTeam,homeScore,awayScore,awayId,awayTeam,note
TIER_ONE-2019-1-THH-BIDU,V.League 1,TIER_ONE,2019,1,FINISHED,2019-02-21,17:00,Thanh Hóa,THH,Đông Á Thanh Hóa,1,1,BIDU,Becamex Bình Dương,
TIER_ONE-2019-1-NAN-QNA,V.League 1,TIER_ONE,2019,1,FINISHED,2019-02-23,16:30,Vinh,NAN,Sông Lam Nghệ An,2,0,QNA,Quảng Nam,
TIER_ONE-2019-1-KHH-GLA,V.League 1,TIER_ONE,2019,1,FINISHED,2019-02-23,17:00,19/8 Nha Trang,KHH,Khánh Hòa,1,4,GLA,Hoàng Anh Gia Lai,
TIER_ONE-2019-1-HAN-QNI,V.League 1,TIER_ONE,2019,1,FINISHED,2019-02-23,19:00,Hàng Đẫy,HAN,Hà Nội,5,0,QNI,Than Quảng Ninh,
TIER_ONE-2019-1-NAD-SGO,V.League 1,TIER_ONE,2019,1,FINISHED,2019-02-24,17:00,Thiên Trường,NAD,Nam Định,3,1,SGO,Sài Gòn,
TIER_ONE-2019-1-DAN-VTL,V.League 1,TIER_ONE,2019,1,FINISHED,2019-02-24,17:00,Hòa Xuân,DAN,SHB Đà Nẵng,3,1,VTL,Viettel,
TIER_ONE-2019-1-HCM-HAP,V.League 1,TIER_ONE,2019,1,FINISHED,2019-02-24,19:00,Thống Nhất,HCM,TP Hồ Chí Minh,1,0,HAP,Hải Phòng,
TIER_ONE-2019-2-HAP-NAD,V.League 1,TIER_ONE,2019,2,FINISHED,2019-03-01,17:00,Lạch Tray,HAP,Hải Phòng,2,1,NAD,Nam Định,
TIER_ONE-2019-2-GLA-HCM,V.League 1,TIER_ONE,2019,2,FINISHED,2019-03-01,17:00,Pleiku,GLA,Hoàng Anh Gia Lai,1,2,HCM,TP Hồ Chí Minh,
TIER_ONE-2019-2-SGO-KHH,V.League 1,TIER_ONE,2019,2,FINISHED,2019-03-01,18:00,Thống Nhất,SGO,Sài Gòn,2,1,KHH,Khánh Hòa,
TIER_ONE-2019-2-VTL-THH,V.League 1,TIER_ONE,2019,2,FINISHED,2019-03-01,19:00,Hàng Đẫy,VTL,Viettel,2,1,THH,Đông Á Thanh Hóa,
TIER_ONE-2019-2-QNI-NAN,V.League 1,TIER_ONE,2019,2,FINISHED,2019-03-02,17:00,Cửa Ông,QNI,Than Quảng Ninh,0,0,NAN,Sông Lam Nghệ An,
TIER_ONE-2019-2-QNA-HAN,V.League 1,TIER_ONE,2019,2,FINISHED,2019-03-02,17:00,Quảng Nam,QNA,Quảng Nam,1,1,HAN,Hà Nội,
TIER_ONE-2019-2-BIDU-DAN,V.League 1,TIER_ONE,2019,2,FINISHED,2019-03-03,17:00,Bình Dương,BIDU,Becamex Bình Dương,3,1,DAN,SHB Đà Nẵng,
TIER_ONE-2019-3-KHH-HAP,V.League 1,TIER_ONE,2019,3,FINISHED,2019-03-05,17:00,19/8 Nha Trang,KHH,Khánh Hòa,3,4,HAP,Hải Phòng,
TIER_ONE-2019-3-GLA-SGO,V.League 1,TIER_ONE,2019,3,FINISHED,2019-03-05,17:00,Pleiku,GLA,Hoàng Anh Gia Lai,1,3,SGO,Sài Gòn,
TIER_ONE-2019-3-HCM-NAD,V.League 1,TIER_ONE,2019,3,FINISHED,2019-03-05,19:00,Thống Nhất,HCM,TP Hồ Chí Minh,2,0,NAD,Nam Định,
TIER_ONE-2019-3-QNI-THH,V.League 1,TIER_ONE,2019,3,FINISHED,2019-03-06,17:00,Cửa Ông,QNI,Than Quảng Ninh,3,0,THH,Đông Á Thanh Hóa,
TIER_ONE-2019-3-VTL-HAN,V.League 1,TIER_ONE,2019,3,FINISHED,2019-03-06,19:00,Hàng Đẫy,VTL,Viettel,0,2,HAN,Hà Nội,
TIER_ONE-2019-3-NAN-BIDU,V.League 1,TIER_ONE,2019,3,FINISHED,2019-03-07,16:30,Vinh,NAN,Sông Lam Nghệ An,2,1,BIDU,Becamex Bình Dương,
TIER_ONE-2019-3-DAN-QNA,V.League 1,TIER_ONE,2019,3,FINISHED,2019-03-07,17:00,Hòa Xuân,DAN,SHB Đà Nẵng,2,2,QNA,Quảng Nam,
TIER_ONE-2019-4-QNA-QNI,V.League 1,TIER_ONE,2019,4,FINISHED,2019-04-05,17:00,Quảng Nam,QNA,Quảng Nam,0,1,QNI,Than Quảng Ninh,
TIER_ONE-2019-4-NAD-KHH,V.League 1,TIER_ONE,2019,4,FINISHED,2019-04-06,17:00,Thiên Trường,NAD,Nam Định,1,2,KHH,Khánh Hòa,
TIER_ONE-2019-4-HAP-GLA,V.League 1,TIER_ONE,2019,4,FINISHED,2019-04-06,17:00,Lạch Tray,HAP,Hải Phòng,1,0,GLA,Hoàng Anh Gia Lai,
TIER_ONE-2019-4-SGO-HCM,V.League 1,TIER_ONE,2019,4,FINISHED,2019-04-06,19:00,Thống Nhất,SGO,Sài Gòn,0,0,HCM,TP Hồ Chí Minh,
TIER_ONE-2019-4-THH-DAN,V.League 1,TIER_ONE,2019,4,FINISHED,2019-04-07,17:00,Thanh Hóa,THH,Đông Á Thanh Hóa,0,0,DAN,SHB Đà Nẵng,
TIER_ONE-2019-4-HAN-NAN,V.League 1,TIER_ONE,2019,4,FINISHED,2019-04-07,19:00,Hàng Đẫy,HAN,Hà Nội,4,0,NAN,Sông Lam Nghệ An,
TIER_ONE-2019-4-BIDU-VTL,V.League 1,TIER_ONE,2019,4,FINISHED,2019-04-08,17:00,Bình Dương,BIDU,Becamex Bình Dương,1,0,VTL,Viettel,
TIER_ONE-2019-5-BIDU-HCM,V.League 1,TIER_ONE,2019,5,FINISHED,2019-04-12,17:00,Bình Dương,BIDU,Becamex Bình Dương,2,3,HCM,TP Hồ Chí Minh,
TIER_ONE-2019-5-KHH-HAN,V.League 1,TIER_ONE,2019,5,FINISHED,2019-04-12,19:00,19/8 Nha Trang,KHH,Khánh Hòa,0,0,HAN,Hà Nội,
