"standingId",competition,competitionTier,"season","position","teamId","team","played","points","won","drawn","lost","goals","goalsAgainst","goalsDifference","yellowCards","redCards","note"
"TIER_TWO-2016-1",V.League 2,TIER_TWO,"2016","1","HCM","TP Hồ Chí Minh","18","39","12","3","3","38","15","23",,,
"TIER_TWO-2016-2",V.League 2,TIER_TWO,"2016","2","VTL","Viettel","18","32","8","8","2","31","12","19",,,
"TIER_TWO-2016-3",V.League 2,TIER_TWO,"2016","3","NAD","Nam Định","18","32","8","8","2","25","14","11",,,
"TIER_TWO-2016-4",V.League 2,TIER_TWO,"2016","4","DON","Đồng Nai","18","30","8","6","4","24","17","7",,,
"TIER_TWO-2016-5",V.League 2,TIER_TWO,"2016","5","TNI","XM Fico - YTL Tây Ninh","18","25","6","7","5","23","25","-2",,,
"TIER_TWO-2016-6",V.League 2,TIER_TWO,"2016","6","DAL","Đắk Lắk","18","23","6","5","7","31","30","1",,,
"TIER_TWO-2016-7",V.League 2,TIER_TWO,"2016","7","HUE","HuếHuế","18","22","6","4","8","29","26","3",,,
"TIER_TWO-2016-8",V.League 2,TIER_TWO,"2016","8","BPH","Bình Phước","18","16","4","4","10","29","36","-7",,,
"TIER_TWO-2016-9",V.League 2,TIER_TWO,"2016","9","PYE","Phú Yên","18","16","4","4","10","20","41","-21",,,
"TIER_TWO-2016-10",V.League 2,TIER_TWO,"2016","10","CAM","Cà Mau","18","8","1","5","12","13","47","-34",,,
