"standingId",competition,competitionTier,"season","position","teamId","team","played","points","won","drawn","lost","goals","goalsAgainst","goalsDifference","yellowCards","redCards","note"
"TIER_TWO-2022-1",V.League 2,TIER_TWO,"2022","1","KHH","Khánh Hòa","1","1","0","0","1","1","1","0","3","0",
"TIER_TWO-2022-2",V.League 2,TIER_TWO,"2022","2","DAL","Đắk Lắk","1","1","0","0","1","1","1","0","1","0",
"TIER_TWO-2022-3",V.League 2,TIER_TWO,"2022","3","HUE","Huế","1","1","0","0","1","1","1","0","0","0",
"TIER_TWO-2022-4",V.League 2,TIER_TWO,"2022","4","PTH","Phú Thọ","1","1","0","0","1","1","1","0","2","0",
"TIER_TWO-2022-5",V.League 2,TIER_TWO,"2022","5","BPH","Bình Phước","1","1","0","0","1","0","0","0","3","0",
"TIER_TWO-2022-6",V.League 2,TIER_TWO,"2022","6","CAT","Cần Thơ","1","1","0","0","1","0","0","0","2","0",
"TIER_TWO-2022-7",V.League 2,TIER_TWO,"2022","7","BRVT","Bà Rịa-Vũng Tàu","0","0","0","0","0","0","0","0","0","0",
"TIER_TWO-2022-8",V.League 2,TIER_TWO,"2022","8","CAND","Công An Nhân Dân","0","0","0","0","0","0","0","0","0","0",
"TIER_TWO-2022-9",V.League 2,TIER_TWO,"2022","9","LAN","Long An","0","0","0","0","0","0","0","0","0","0",
"TIER_TWO-2022-10",V.League 2,TIER_TWO,"2022","10","PDO","Phù Đổng","0","0","0","0","0","0","0","0","0","0",
"TIER_TWO-2022-11",V.League 2,TIER_TWO,"2022","11","PHI","Phố Hiến","0","0","0","0","0","0","0","0","0","0",
"TIER_TWO-2022-12",V.League 2,TIER_TWO,"2022","12","QNA","Quảng Nam","0","0","0","0","0","0","0","0","0","0",
