"standingId",competition,competitionTier,"season","position","teamId","team","played","points","won","drawn","lost","goals","goalsAgainst","goalsDifference","yellowCards","redCards","note"
"TIER_TWO-2021-1",V.League 2,TIER_TWO,"2021","1","KHH","Khánh Hòa","7","15","4","0","3","8","2","6","9","0",
"TIER_TWO-2021-2",V.League 2,TIER_TWO,"2021","2","BRVT","Bà Rịa-Vũng Tàu","6","13","4","1","1","8","4","4","7","0",
"TIER_TWO-2021-3",V.League 2,TIER_TWO,"2021","3","LAN","Long An","7","12","3","1","3","5","2","3","10","1",
"TIER_TWO-2021-4",V.League 2,TIER_TWO,"2021","4","PDO","Phù Đổng","6","11","3","1","2","5","1","4","13","0",
"TIER_TWO-2021-5",V.League 2,TIER_TWO,"2021","5","DAL","Đắk Lắk","6","9","2","1","3","7","5","2","9","0",
"TIER_TWO-2021-6",V.League 2,TIER_TWO,"2021","6","CAND","Công An Nhân Dân","6","9","2","1","3","7","6","1","9","0",
"TIER_TWO-2021-7",V.League 2,TIER_TWO,"2021","7","HUE","Huế","6","8","1","0","5","6","4","2","8","1",
"TIER_TWO-2021-8",V.League 2,TIER_TWO,"2021","8","CAT","Cần Thơ","6","7","2","3","1","5","10","-5","11","0",
"TIER_TWO-2021-9",V.League 2,TIER_TWO,"2021","9","QNA","Quảng Nam","7","6","1","3","3","7","8","-1","14","0",
"TIER_TWO-2021-10",V.League 2,TIER_TWO,"2021","10","PTH","Phú Thọ","6","6","1","2","3","3","4","-1","13","0",
"TIER_TWO-2021-11",V.League 2,TIER_TWO,"2021","11","BPH","Bình Phước","6","6","1","2","3","6","8","-2","16","0",
"TIER_TWO-2021-12",V.League 2,TIER_TWO,"2021","12","PHI","Phố Hiến","6","3","0","3","3","2","6","-4","8","1",
"TIER_TWO-2021-13",V.League 2,TIER_TWO,"2021","13","ANGI","An Giang","7","1","0","6","1","2","11","-9","12","2",
