"standingId",competition,competitionTier,"season","position","teamId","team","played","points","won","drawn","lost","goals","goalsAgainst","goalsDifference","yellowCards","redCards","note"
"TIER_TWO-2019-1",V.League 2,TIER_TWO,"2019","1","HAT","Hồng Lĩnh Hà Tĩnh","22","53","17","3","2","50","15","35","23","2",
"TIER_TWO-2019-2",V.League 2,TIER_TWO,"2019","2","PHI","Phố Hiến","22","40","11","4","7","37","22","15","47","1",
"TIER_TWO-2019-3",V.League 2,TIER_TWO,"2019","3","BPH","Bình Phước","22","37","11","7","4","33","25","8","39","0",
"TIER_TWO-2019-4",V.League 2,TIER_TWO,"2019","4","ANGI","An Giang","22","33","9","7","6","32","27","5","33","1",
"TIER_TWO-2019-5",V.League 2,TIER_TWO,"2019","5","LAN","Long An","22","32","9","8","5","30","31","-1","36","2",
"TIER_TWO-2019-6",V.League 2,TIER_TWO,"2019","6","HUE","Huế","22","29","9","11","2","33","36","-3","42","4",
"TIER_TWO-2019-7",V.League 2,TIER_TWO,"2019","7","TNI","XM Fico - YTL Tây Ninh","22","28","8","10","4","32","33","-1","34","0",
"TIER_TWO-2019-8",V.League 2,TIER_TWO,"2019","8","DAL","Đắk Lắk","22","28","8","10","4","28","31","-3","25","2",
"TIER_TWO-2019-9",V.League 2,TIER_TWO,"2019","9","DOT","Đồng Tháp","22","23","5","9","8","26","32","-6","28","2",
"TIER_TWO-2019-10",V.League 2,TIER_TWO,"2019","10","CAT","Cần Thơ","22","22","4","8","10","17","33","-16","52","0",
"TIER_TWO-2019-11",V.League 2,TIER_TWO,"2019","11","BIDI","Topenland Bình Định","22","21","5","11","6","18","37","-19","27","1",
"TIER_TWO-2019-12",V.League 2,TIER_TWO,"2019","12","PDO","Phù Đổng","22","19","5","13","4","22","36","-14","53","2",
