"standingId",competition,competitionTier,"season","position","teamId","team","played","points","won","drawn","lost","goals","goalsAgainst","goalsDifference","yellowCards","redCards","note"
"TIER_TWO-2013-1",V.League 2,TIER_TWO,"2013","1","QNA","Quảng Nam","14","25","7","4","3",,,,,,
"TIER_TWO-2013-2",V.League 2,TIER_TWO,"2013","2","QNI","Than Quảng Ninh","14","25","7","4","3",,,,,,
"TIER_TWO-2013-3",V.League 2,TIER_TWO,"2013","3","ANGI","An Giang","14","24","7","3","4",,,,,,
"TIER_TWO-2013-4",V.League 2,TIER_TWO,"2013","4","DOT","Đồng Tháp","14","24","7","3","4",,,,,,
"TIER_TWO-2013-5",V.League 2,TIER_TWO,"2013","5","CAT","Cần Thơ","14","21","6","3","5",,,,,,
"TIER_TWO-2013-6",V.League 2,TIER_TWO,"2013","6","SGO","Sài Gòn","14","12","3","3","8",,,,,,
"TIER_TWO-2013-7",V.League 2,TIER_TWO,"2013","7","BIDI","Topenland Bình Định","14","12","3","3","8",,,,,,
"TIER_TWO-2013-8",V.League 2,TIER_TWO,"2013","8",,"TDC Bình Dương","14","12","3","3","8",,,,,,
