"standingId",competition,competitionTier,"season","position","teamId","team","played","points","won","drawn","lost","goals","goalsAgainst","goalsDifference","yellowCards","redCards","note"
"TIER_TWO-2012-1",V.League 2,TIER_TWO,"2012","1","LAN","Long An","26","49","15","4","7",,,,,,
"TIER_TWO-2012-2",V.League 2,TIER_TWO,"2012","2","SGO","Sài Gòn","26","48","15","3","8",,,,,,
"TIER_TWO-2012-3",V.League 2,TIER_TWO,"2012","3","DON","Đồng Nai","26","40","11","7","8",,,,,,
"TIER_TWO-2012-4",V.League 2,TIER_TWO,"2012","4","QNI","Than Quảng Ninh","26","39","10","9","7",,,,,,
"TIER_TWO-2012-5",V.League 2,TIER_TWO,"2012","5","CAT","Cần Thơ","26","39","10","9","7",,,,,,
"TIER_TWO-2012-6",V.League 2,TIER_TWO,"2012","6","BIDI","Topenland Bình Định","26","38","9","11","6",,,,,,
"TIER_TWO-2012-7",V.League 2,TIER_TWO,"2012","7",,"Trẻ SHB Đà Nẵng","26","37","10","7","9",,,,,,
"TIER_TWO-2012-8",V.League 2,TIER_TWO,"2012","8","LAD","XSKT Lâm Đồng","26","33","9","6","11",,,,,,
"TIER_TWO-2012-9",V.League 2,TIER_TWO,"2012","9","ANGI","An Giang","26","32","8","8","10",,,,,,
"TIER_TWO-2012-10",V.League 2,TIER_TWO,"2012","10","QNA","Quảng Nam","26","31","7","10","9",,,,,,
"TIER_TWO-2012-11",V.League 2,TIER_TWO,"2012","11",,"Trẻ Bóng đá Hà Nội","26","29","8","5","13",,,,,,
"TIER_TWO-2012-12",V.League 2,TIER_TWO,"2012","12",,"TDC Bình Dương","26","29","7","8","11",,,,,,
"TIER_TWO-2012-13",V.League 2,TIER_TWO,"2012","13","TNI","XM Fico - YTL Tây Ninh","26","29","8","5","13",,,,,,
"TIER_TWO-2012-14",V.League 2,TIER_TWO,"2012","14","HCM","TP Hồ Chí Minh","26","23","5","8","13",,,,,,
