fixtureId,competition,competitionTier,season,round,status,date,time,stadium,homeId,homeTeam,homeScore,awayScore,awayId,awayTeam,note
TIER_TWO-2017-1-BPH-DAL,V.League 2,TIER_TWO,2017,1,FINISHED,2017-02-11,15:00,Bình Phước,BPH,Bình Phước,1,0,DAL,Đắk Lắk,
TIER_TWO-2017-1-HUE-NAD,V.League 2,TIER_TWO,2017,1,FINISHED,2017-02-11,15:30,Tự Do,HUE,Huế,1,1,NAD,Nam Định,
TIER_TWO-2017-1-DOT-VTL,V.League 2,TIER_TWO,2017,1,FINISHED,2017-02-11,16:00,Đồng Tháp,DOT,Đồng Tháp,0,1,VTL,Viettel,
TIER_TWO-2017-2-TNI-HUE,V.League 2,TIER_TWO,2017,2,FINISHED,2017-02-18,15:30,Tây Ninh,TNI,XM Fico - YTL Tây Ninh,0,3,HUE,Huế,
TIER_TWO-2017-2-NAD-DOT,V.League 2,TIER_TWO,2017,2,FINISHED,2017-02-18,16:00,Thiên Trường,NAD,Nam Định,0,4,DOT,Đồng Tháp,
TIER_TWO-2017-2-VTL-BPH,V.League 2,TIER_TWO,2017,2,FINISHED,2017-02-18,17:00,Hàng Đẫy,VTL,Viettel,1,0,BPH,Bình Phước,
TIER_TWO-2017-3-BPH-NAD,V.League 2,TIER_TWO,2017,3,FINISHED,2017-02-25,15:00,Bình Phước,BPH,Bình Phước,2,1,NAD,Nam Định,
TIER_TWO-2017-3-DAL-VTL,V.League 2,TIER_TWO,2017,3,FINISHED,2017-02-25,15:30,Buôn Ma Thuột,DAL,Đắk Lắk,0,2,VTL,Viettel,
TIER_TWO-2017-3-DOT-TNI,V.League 2,TIER_TWO,2017,3,FINISHED,2017-02-25,16:00,Đồng Tháp,DOT,Đồng Tháp,1,1,TNI,XM Fico - YTL Tây Ninh,
TIER_TWO-2017-4-HUE-DOT,V.League 2,TIER_TWO,2017,4,FINISHED,2017-03-04,15:30,Tự Do,HUE,Huế,4,1,DOT,Đồng Tháp,
TIER_TWO-2017-4-TNI-BPH,V.League 2,TIER_TWO,2017,4,FINISHED,2017-03-04,15:30,Tây Ninh,TNI,XM Fico - YTL Tây Ninh,2,1,BPH,Bình Phước,
TIER_TWO-2017-4-NAD-DAL,V.League 2,TIER_TWO,2017,4,FINISHED,2017-03-04,16:00,Thiên Trường,NAD,Nam Định,2,0,DAL,Đắk Lắk,
TIER_TWO-2017-5-BPH-HUE,V.League 2,TIER_TWO,2017,5,FINISHED,2017-03-08,15:00,Bình Phước,BPH,Bình Phước,0,0,HUE,Huế,
TIER_TWO-2017-5-DAL-TNI,V.League 2,TIER_TWO,2017,5,FINISHED,2017-03-08,15:30,Buôn Ma Thuột,DAL,Đắk Lắk,1,0,TNI,XM Fico - YTL Tây Ninh,
