fixtureId,competition,competitionTier,season,round,status,date,time,stadium,homeId,homeTeam,homeScore,awayScore,awayId,awayTeam,note
TIER_TWO-2012-1-TDC-QNI,V.League 2,TIER_TWO,2012,1,FINISHED,2011-12-30,15:30,Bình Dương,TDC,TDC Bình Dương,0,3,QNI,Than Quảng Ninh,
TIER_TWO-2012-1-DON-BIDI,V.League 2,TIER_TWO,2012,1,FINISHED,2011-12-31,15:30,,DON,Đồng Nai,2,0,BIDI,Topenland Bình Định,
TIER_TWO-2012-1-TNI-QNA,V.League 2,TIER_TWO,2012,1,FINISHED,2011-12-31,15:30,Tây Ninh,TNI,XM Fico - YTL Tây Ninh,2,3,QNA,Quảng Nam,
TIER_TWO-2012-1-ANGI-LAD,V.League 2,TIER_TWO,2012,1,FINISHED,2011-12-31,15:30,Kiên Giang,ANGI,An Giang,1,1,LAD,XSKT Lâm Đồng,
TIER_TWO-2012-1-TBDHN-SGO,V.League 2,TIER_TWO,2012,1,FINISHED,2011-12-31,17:00,Hàng Đẫy,TBDHN,Trẻ Bóng đá Hà Nội,0,1,SGO,Sài Gòn,
TIER_TWO-2012-1-CAT-HCM,V.League 2,TIER_TWO,2012,1,FINISHED,2011-12-31,17:00,Cần Thơ,CAT,Cần Thơ,0,0,HCM,TP Hồ Chí Minh,
TIER_TWO-2012-1-TDAN-LAN,V.League 2,TIER_TWO,2012,1,FINISHED,2011-12-31,18:00,Chi Lăng,TDAN,Trẻ SHB Đà Nẵng,1,2,LAN,Long An,
TIER_TWO-2012-2-QNI-DON,V.League 2,TIER_TWO,2012,2,FINISHED,2012-01-07,15:00,Cẩm Phả,QNI,Than Quảng Ninh,0,0,DON,Đồng Nai,
TIER_TWO-2012-2-LAD-TBDHN,V.League 2,TIER_TWO,2012,2,FINISHED,2012-01-07,15:00,Lâm Viên,LAD,XSKT Lâm Đồng,2,1,TBDHN,Trẻ Bóng đá Hà Nội,
TIER_TWO-2012-2-QNA-CAT,V.League 2,TIER_TWO,2012,2,FINISHED,2012-01-07,15:30,Quảng Nam,QNA,Quảng Nam,1,1,CAT,Cần Thơ,
TIER_TWO-2012-2-BIDI-TDAN,V.League 2,TIER_TWO,2012,2,FINISHED,2012-01-07,16:00,Quy Nhơn,BIDI,Topenland Bình Định,1,1,TDAN,Trẻ SHB Đà Nẵng,
TIER_TWO-2012-2-SGO-ANGI,V.League 2,TIER_TWO,2012,2,FINISHED,2012-01-07,16:30,Thống Nhất,SGO,Sài Gòn,1,1,ANGI,An Giang,
TIER_TWO-2012-2-LAN-TDC,V.League 2,TIER_TWO,2012,2,FINISHED,2012-01-07,17:00,Long An,LAN,Long An,0,0,TDC,TDC Bình Dương,
TIER_TWO-2012-2-HCM-TNI,V.League 2,TIER_TWO,2012,2,FINISHED,2012-01-07,17:00,Thống Nhất,HCM,TP Hồ Chí Minh,3,1,TNI,XM Fico - YTL Tây Ninh,
TIER_TWO-2012-3-LAD-BIDI,V.League 2,TIER_TWO,2012,3,FINISHED,2012-01-14,15:00,Lâm Viên,LAD,XSKT Lâm Đồng,0,1,BIDI,Topenland Bình Định,
TIER_TWO-2012-3-TDC-ANGI,V.League 2,TIER_TWO,2012,3,FINISHED,2012-01-14,15:30,Bình Dương,TDC,TDC Bình Dương,0,0,ANGI,An Giang,
TIER_TWO-2012-3-QNA-SGO,V.League 2,TIER_TWO,2012,3,FINISHED,2012-01-14,15:30,Quảng Nam,QNA,Quảng Nam,1,2,SGO,Sài Gòn,
TIER_TWO-2012-3-TDAN-HCM,V.League 2,TIER_TWO,2012,3,FINISHED,2012-01-14,16:00,Chi Lăng,TDAN,Trẻ SHB Đà Nẵng,2,2,HCM,TP Hồ Chí Minh,
TIER_TWO-2012-3-CAT-QNI,V.League 2,TIER_TWO,2012,3,FINISHED,2012-01-14,16:30,Cần Thơ,CAT,Cần Thơ,2,1,QNI,Than Quảng Ninh,
TIER_TWO-2012-3-LAN-TNI,V.League 2,TIER_TWO,2012,3,FINISHED,2012-01-14,17:00,Long An,LAN,Long An,1,0,TNI,XM Fico - YTL Tây Ninh,
TIER_TWO-2012-3-TBDHN-DON,V.League 2,TIER_TWO,2012,3,FINISHED,2012-01-14,17:00,Hàng Đẫy,TBDHN,Trẻ Bóng đá Hà Nội,1,0,DON,Đồng Nai,
TIER_TWO-2012-4-ANGI-TBDHN,V.League 2,TIER_TWO,2012,4,FINISHED,2012-02-04,15:30,Kiên Giang,ANGI,An Giang,1,0,TBDHN,Trẻ Bóng đá Hà Nội,
TIER_TWO-2012-4-TDC-TDAN,V.League 2,TIER_TWO,2012,4,FINISHED,2012-02-04,15:30,Bình Dương,TDC,TDC Bình Dương,1,1,TDAN,Trẻ SHB Đà Nẵng,
TIER_TWO-2012-4-DON-LAN,V.League 2,TIER_TWO,2012,4,FINISHED,2012-02-04,15:30,,DON,Đồng Nai,2,1,LAN,Long An,
