fixtureId,competition,competitionTier,season,round,status,date,time,stadium,homeId,homeTeam,homeScore,awayScore,awayId,awayTeam,note
TIER_CUP-2018-1/16-BIDI-VTL,National Cup,TIER_CUP,2018,1/16,FINISHED,2018-04-08,16:00,Quy Nhơn,BIDI,Topenland Bình Định,1,0,VTL,Viettel,Topenland Bình Định
TIER_CUP-2018-1/16-TNI-BPH,National Cup,TIER_CUP,2018,1/16,FINISHED,2018-04-08,16:30,Tây Ninh,TNI,XM Fico - YTL Tây Ninh,0,1,BPH,Bình Phước,Bình Phước
TIER_CUP-2018-1/16-LAN-CAND,National Cup,TIER_CUP,2018,1/16,FINISHED,2018-04-08,17:00,Long An,LAN,Long An,0,1,CAND,Công An Nhân Dân,Công An Nhân Dân
TIER_CUP-2018-1/16-HUE-KHH,National Cup,TIER_CUP,2018,1/16,FINISHED,2018-04-09,15:30,Tự Do,HUE,Huế,1,2,KHH,Khánh Hòa,Khánh Hòa
TIER_CUP-2018-1/16-GLA-QNI,National Cup,TIER_CUP,2018,1/16,FINISHED,2018-04-09,17:00,Pleiku,GLA,Hoàng Anh Gia Lai,5,0,QNI,Than Quảng Ninh,Hoàng Anh Gia Lai
TIER_CUP-2018-1/16-HAN-DAL,National Cup,TIER_CUP,2018,1/16,FINISHED,2018-04-09,18:00,Hàng Đẫy,HAN,Hà Nội,0,0,DAL,Đắk Lắk,Hà Nội
TIER_CUP-2018-1/8-BPH-NAD,National Cup,TIER_CUP,2018,1/8,FINISHED,2018-04-28,16:30,Bình Phước,BPH,Bình Phước,2,0,NAD,Nam Định,Bình Phước
TIER_CUP-2018-1/8-QNA-GLA,National Cup,TIER_CUP,2018,1/8,FINISHED,2018-04-28,17:00,Quảng Nam,QNA,Quảng Nam,2,3,GLA,Hoàng Anh Gia Lai,Hoàng Anh Gia Lai
TIER_CUP-2018-1/8-KHH-HAP,National Cup,TIER_CUP,2018,1/8,FINISHED,2018-04-28,17:00,19/8 Nha Trang,KHH,Khánh Hòa,2,1,HAP,Hải Phòng,Khánh Hòa
TIER_CUP-2018-1/8-BIDU-BIDI,National Cup,TIER_CUP,2018,1/8,FINISHED,2018-04-28,17:00,Bình Dương,BIDU,Becamex Bình Dương,2,0,BIDI,Topenland Bình Định,Becamex Bình Dương
TIER_CUP-2018-1/8-HAN-SGO,National Cup,TIER_CUP,2018,1/8,FINISHED,2018-04-28,18:00,Hàng Đẫy,HAN,Hà Nội,5,0,SGO,Sài Gòn,Hà Nội
