fixtureId,competition,competitionTier,season,round,status,date,time,stadium,homeId,homeTeam,homeScore,awayScore,awayId,awayTeam,note
TIER_CUP-2021-1/16-CAT-BIDU,National Cup,TIER_CUP,2021,1/16,FINISHED,2021-04-23,17:00,Cần Thơ,CAT,Cần Thơ,1,1,BIDU,Becamex Bình Dương,Cần Thơ
TIER_CUP-2021-1/16-GLA-ANGI,National Cup,TIER_CUP,2021,1/16,FINISHED,2021-04-23,17:00,Pleiku,GLA,Hoàng Anh Gia Lai,2,1,ANGI,An Giang,Hoàng Anh Gia Lai
TIER_CUP-2021-1/16-DAN-BRVT,National Cup,TIER_CUP,2021,1/16,FINISHED,2021-04-23,17:00,Hòa Xuân,DAN,SHB Đà Nẵng,1,0,BRVT,Bà Rịa-Vũng Tàu,SHB Đà Nẵng
TIER_CUP-2021-1/16-HAT-CAND,National Cup,TIER_CUP,2021,1/16,FINISHED,2021-04-23,18:00,Hà Tĩnh,HAT,Hồng Lĩnh Hà Tĩnh,4,2,CAND,Công An Nhân Dân,Hồng Lĩnh Hà Tĩnh
TIER_CUP-2021-1/16-PHI-NAN,National Cup,TIER_CUP,2021,1/16,FINISHED,2021-04-23,18:00,TTĐT trẻ PVF,PHI,Phố Hiến,1,0,NAN,Sông Lam Nghệ An,Phố Hiến
TIER_CUP-2021-1/16-DAL-THH,National Cup,TIER_CUP,2021,1/16,FINISHED,2021-04-24,15:30,Buôn Ma Thuột,DAL,Đắk Lắk,3,0,THH,Đông Á Thanh Hóa,Đắk Lắk
TIER_CUP-2021-1/16-BIDI-LAN,National Cup,TIER_CUP,2021,1/16,FINISHED,2021-04-24,17:00,Quy Nhơn,BIDI,Topenland Bình Định,1,2,LAN,Long An,Long An
TIER_CUP-2021-1/16-QNA-SGO,National Cup,TIER_CUP,2021,1/16,FINISHED,2021-04-24,17:00,Quảng Nam,QNA,Quảng Nam,3,2,SGO,Sài Gòn,Quảng Nam
TIER_CUP-2021-1/16-HAP-BPH,National Cup,TIER_CUP,2021,1/16,FINISHED,2021-04-24,18:00,Lạch Tray,HAP,Hải Phòng,0,0,BPH,Bình Phước,Hải Phòng
TIER_CUP-2021-1/16-PDO-HUE,National Cup,TIER_CUP,2021,1/16,FINISHED,2021-04-25,16:00,Thanh Trì,PDO,Phù Đổng,1,0,HUE,Huế,Phù Đổng
TIER_CUP-2021-1/16-KHH-PTH,National Cup,TIER_CUP,2021,1/16,FINISHED,2021-04-25,17:00,19/8 Nha Trang,KHH,Khánh Hòa,2,0,PTH,Phú Thọ,Khánh Hòa
TIER_CUP-2021-1/8-QNI-LAN,National Cup,TIER_CUP,2021,1/8,CANCELLED,,,,QNI,Than Quảng Ninh,,,LAN,Long An,
TIER_CUP-2021-1/8-PDO-CAT,National Cup,TIER_CUP,2021,1/8,CANCELLED,,,,PDO,Phù Đổng,,,CAT,Cần Thơ,
TIER_CUP-2021-1/8-HCM-HAT,National Cup,TIER_CUP,2021,1/8,CANCELLED,,,,HCM,TP Hồ Chí Minh,,,HAT,Hồng Lĩnh Hà Tĩnh,
TIER_CUP-2021-1/8-QNA-DAL,National Cup,TIER_CUP,2021,1/8,CANCELLED,,,,QNA,Quảng Nam,,,DAL,Đắk Lắk,
TIER_CUP-2021-1/8-VTL-HAP,National Cup,TIER_CUP,2021,1/8,CANCELLED,,,,VTL,Viettel,,,HAP,Hải Phòng,
TIER_CUP-2021-1/8-GLA-DAN,National Cup,TIER_CUP,2021,1/8,CANCELLED,,,,GLA,Hoàng Anh Gia Lai,,,DAN,SHB Đà Nẵng,
TIER_CUP-2021-1/8-HAN-PHI,National Cup,TIER_CUP,2021,1/8,CANCELLED,,,,HAN,Hà Nội,,,PHI,Phố Hiến,
TIER_CUP-2021-1/8-NAD-KHH,National Cup,TIER_CUP,2021,1/8,CANCELLED,,,,NAD,Nam Định,,,KHH,Khánh Hòa,
