fixtureId,competition,competitionTier,season,round,status,date,time,stadium,homeId,homeTeam,homeScore,awayScore,awayId,awayTeam,note
TIER_CUP-2022-1/16-QNA-BIDU,National Cup,TIER_CUP,2022,1/16,SCHEDULED,2022-04-05,17:00,Quảng Nam,QNA,Quảng Nam,,,BIDU,Becamex Bình Dương,
TIER_CUP-2022-1/16-HAT-NAD,National Cup,TIER_CUP,2022,1/16,SCHEDULED,2022-04-05,18:00,Hà Tĩnh,HAT,Hồng Lĩnh Hà Tĩnh,,,NAD,Nam Định,
TIER_CUP-2022-1/16-HUE-SGO,National Cup,TIER_CUP,2022,1/16,SCHEDULED,2022-04-06,16:00,Tự Do,HUE,Huế,,,SGO,Sài Gòn,
TIER_CUP-2022-1/16-LAN-KHH,National Cup,TIER_CUP,2022,1/16,SCHEDULED,2022-04-06,17:00,Long An,LAN,Long An,,,KHH,Khánh Hòa,
TIER_CUP-2022-1/16-PDO-HAP,National Cup,TIER_CUP,2022,1/16,SCHEDULED,2022-04-07,15:30,Thanh Trì,PDO,Phù Đổng,,,HAP,Hải Phòng,
TIER_CUP-2022-1/16-BPH-NAN,National Cup,TIER_CUP,2022,1/16,SCHEDULED,2022-04-07,17:00,Bình Phước,BPH,Bình Phước,,,NAN,Sông Lam Nghệ An,
TIER_CUP-2022-1/16-CAT-DAL,National Cup,TIER_CUP,2022,1/16,SCHEDULED,2022-04-07,17:00,Cần Thơ,CAT,Cần Thơ,,,DAL,Đắk Lắk,
TIER_CUP-2022-1/16-PHI-PTH,National Cup,TIER_CUP,2022,1/16,SCHEDULED,2022-04-07,18:00,TTĐT trẻ PVF,PHI,Phố Hiến,,,PTH,Phú Thọ,
TIER_CUP-2022-1/16-HAN-CAND,National Cup,TIER_CUP,2022,1/16,SCHEDULED,2022-04-07,19:15,Hàng Đẫy,HAN,Hà Nội,,,CAND,Công An Nhân Dân,
