"standingId",competition,competitionTier,"season","position","teamId","team","played","points","won","drawn","lost","goals","goalsAgainst","goalsDifference","yellowCards","redCards","note"
"TIER_ONE-2015-1",V.League 1,TIER_ONE,"2015","1","BIDU","Becamex Bình Dương","26","52","16","6","4","57","33","24",,,
"TIER_ONE-2015-2",V.League 1,TIER_ONE,"2015","2","HAN","Hà Nội","26","46","13","6","7","51","30","21",,,
"TIER_ONE-2015-3",V.League 1,TIER_ONE,"2015","3","THH","Đông Á Thanh Hóa","26","44","13","8","5","42","44","-2",,,
"TIER_ONE-2015-4",V.League 1,TIER_ONE,"2015","4","QNI","Than Quảng Ninh","26","42","13","10","3","39","31","8",,,
"TIER_ONE-2015-5",V.League 1,TIER_ONE,"2015","5","KHH","Khánh Hòa","26","42","12","8","6","35","35","0",,,
"TIER_ONE-2015-6",V.League 1,TIER_ONE,"2015","6","HAP","Hải Phòng","26","41","11","7","8","31","28","3",,,
"TIER_ONE-2015-7",V.League 1,TIER_ONE,"2015","7","NAN","Sông Lam Nghệ An","26","37","10","9","7","36","33","3",,,
"TIER_ONE-2015-8",V.League 1,TIER_ONE,"2015","8","QNA","Quảng Nam","26","36","9","8","9","49","39","10",,,
"TIER_ONE-2015-9",V.League 1,TIER_ONE,"2015","9","DAN","SHB Đà Nẵng","26","36","10","10","6","42","32","10",,,
"TIER_ONE-2015-10",V.League 1,TIER_ONE,"2015","10","LAN","Long An","26","33","8","9","9","39","42","-3",,,
"TIER_ONE-2015-11",V.League 1,TIER_ONE,"2015","11","CAT","Cần Thơ","26","25","6","13","7","32","52","-20",,,
"TIER_ONE-2015-12",V.League 1,TIER_ONE,"2015","12","DOT","Đồng Tháp","26","24","7","16","3","34","54","-20",,,
"TIER_ONE-2015-13",V.League 1,TIER_ONE,"2015","13","GLA","Hoàng Anh Gia Lai","26","24","6","14","6","33","50","-17",,,
"TIER_ONE-2015-14",V.League 1,TIER_ONE,"2015","14","DON","Đồng Nai","26","21","5","15","6","35","52","-17",,,
