"standingId",competition,competitionTier,"season","position","teamId","team","played","points","won","drawn","lost","goals","goalsAgainst","goalsDifference","yellowCards","redCards","note"
"TIER_ONE-2014-1",V.League 1,TIER_ONE,"2014","1","BIDU","Becamex Bình Dương","22","49","15","3","4","53","23","30",,,
"TIER_ONE-2014-2",V.League 1,TIER_ONE,"2014","2","HAN","Hà Nội","22","47","14","3","5","66","40","26",,,
"TIER_ONE-2014-3",V.League 1,TIER_ONE,"2014","3","THH","Đông Á Thanh Hóa","22","40","12","6","4","32","34","-2",,,
"TIER_ONE-2014-4",V.League 1,TIER_ONE,"2014","4","DAN","SHB Đà Nẵng","22","39","11","5","6","43","33","10",,,
"TIER_ONE-2014-5",V.League 1,TIER_ONE,"2014","5","NAN","Sông Lam Nghệ An","22","36","10","6","6","38","26","12",,,
"TIER_ONE-2014-6",V.League 1,TIER_ONE,"2014","6","QNI","Than Quảng Ninh","22","29","9","11","2","43","44","-1",,,
"TIER_ONE-2014-7",V.League 1,TIER_ONE,"2014","7","DON","Đồng Nai","22","25","7","11","4","39","40","-1",,,
"TIER_ONE-2014-8",V.League 1,TIER_ONE,"2014","8","QNA","Quảng Nam","22","25","7","11","4","34","52","-18",,,
"TIER_ONE-2014-9",V.League 1,TIER_ONE,"2014","9","GLA","Hoàng Anh Gia Lai","22","23","5","9","8","41","48","-7",,,
"TIER_ONE-2014-10",V.League 1,TIER_ONE,"2014","10","HAP","Hải Phòng","22","21","5","11","6","26","37","-11",,,
"TIER_ONE-2014-11",V.League 1,TIER_ONE,"2014","11","LAN","Long An","22","21","5","11","6","29","45","-16",,,
"TIER_ONE-2014-12",V.League 1,TIER_ONE,"2014","12","ANGI","An Giang","22","12","3","16","3","22","44","-22",,,
