"standingId",competition,competitionTier,"season","position","teamId","team","played","points","won","drawn","lost","goals","goalsAgainst","goalsDifference","yellowCards","redCards","note"
"TIER_ONE-2018-1",V.League 1,TIER_ONE,"2018","1","HAN","Hà Nội","26","64","20","4","2","72","30","42","32","1",
"TIER_ONE-2018-2",V.League 1,TIER_ONE,"2018","2","THH","Đông Á Thanh Hóa","26","46","13","7","6","43","29","14","42","3",
"TIER_ONE-2018-3",V.League 1,TIER_ONE,"2018","3","KHH","Khánh Hòa","26","43","11","10","5","33","27","6","38","2",
"TIER_ONE-2018-4",V.League 1,TIER_ONE,"2018","4","NAN","Sông Lam Nghệ An","26","42","12","6","8","38","32","6","46","0",
"TIER_ONE-2018-5",V.League 1,TIER_ONE,"2018","5","QNI","Than Quảng Ninh","26","35","9","8","9","40","39","1","48","3",
"TIER_ONE-2018-6",V.League 1,TIER_ONE,"2018","6","HAP","Hải Phòng","26","34","9","7","10","26","26","0","44","1",
"TIER_ONE-2018-7",V.League 1,TIER_ONE,"2018","7","BIDU","Becamex Bình Dương","26","33","7","12","7","39","36","3","41","5",
"TIER_ONE-2018-8",V.League 1,TIER_ONE,"2018","8","SGO","Sài Gòn","26","31","9","4","13","38","42","-4","47","1",
"TIER_ONE-2018-9",V.League 1,TIER_ONE,"2018","9","DAN","SHB Đà Nẵng","26","31","8","7","11","38","49","-11","49","2",
"TIER_ONE-2018-10",V.League 1,TIER_ONE,"2018","10","GLA","Hoàng Anh Gia Lai","26","31","8","7","11","41","53","-12","47","1",
"TIER_ONE-2018-11",V.League 1,TIER_ONE,"2018","11","QNA","Quảng Nam","26","31","7","10","9","37","45","-8","38","0",
"TIER_ONE-2018-12",V.League 1,TIER_ONE,"2018","12","HCM","TP Hồ Chí Minh","26","27","7","6","13","37","45","-8","45","3",
"TIER_ONE-2018-13",V.League 1,TIER_ONE,"2018","13","NAD","Nam Định","26","24","5","9","12","33","45","-12","36","1",
"TIER_ONE-2018-14",V.League 1,TIER_ONE,"2018","14","CAT","Cần Thơ","26","21","4","9","13","26","43","-17","45","2",
