"standingId",competition,competitionTier,"season","position","teamId","team","played","points","won","drawn","lost","goals","goalsAgainst","goalsDifference","yellowCards","redCards","note"
"TIER_ONE-2020-1",V.League 1,TIER_ONE,"2020","1","VTL","Viettel","20","41","12","5","3","29","16","13","31","0","A"
"TIER_ONE-2020-2",V.League 1,TIER_ONE,"2020","2","HAN","Hà Nội","20","39","11","6","3","37","16","21","37","0","A"
"TIER_ONE-2020-3",V.League 1,TIER_ONE,"2020","3","SGO","Sài Gòn","20","34","9","7","4","30","19","11","27","1","A"
"TIER_ONE-2020-4",V.League 1,TIER_ONE,"2020","4","QNI","Than Quảng Ninh","20","31","9","4","7","27","26","1","29","0","A"
"TIER_ONE-2020-5",V.League 1,TIER_ONE,"2020","5","HCM","TP Hồ Chí Minh","20","28","8","4","8","30","26","4","46","1","A"
"TIER_ONE-2020-6",V.League 1,TIER_ONE,"2020","6","BIDU","Becamex Bình Dương","20","28","7","7","6","26","22","4","28","1","A"
"TIER_ONE-2020-7",V.League 1,TIER_ONE,"2020","7","GLA","Hoàng Anh Gia Lai","20","23","6","5","9","27","36","-9","35","1","A"
"TIER_ONE-2020-8",V.League 1,TIER_ONE,"2020","8","HAT","Hồng Lĩnh Hà Tĩnh","20","20","4","8","8","19","24","-5","21","0","A"
"TIER_ONE-2020-9",V.League 1,TIER_ONE,"2020","9","DAN","SHB Đà Nẵng","18","23","6","5","7","26","22","4","21","1","B"
"TIER_ONE-2020-10",V.League 1,TIER_ONE,"2020","10","NAN","Sông Lam Nghệ An","18","23","6","5","7","17","21","-4","33","0","B"
"TIER_ONE-2020-11",V.League 1,TIER_ONE,"2020","11","THH","Đông Á Thanh Hóa","18","21","5","6","7","16","22","-6","33","1","B"
"TIER_ONE-2020-12",V.League 1,TIER_ONE,"2020","12","HAP","Hải Phòng","18","19","5","4","9","15","25","-10","36","2","B"
"TIER_ONE-2020-13",V.League 1,TIER_ONE,"2020","13","NAD","Nam Định","18","18","5","3","10","19","30","-11","38","3","B"
"TIER_ONE-2020-14",V.League 1,TIER_ONE,"2020","14","QNA","Quảng Nam","18","18","5","3","10","28","41","-13","27","3","B"
