"standingId",competition,competitionTier,"season","position","teamId","team","played","points","won","drawn","lost","goals","goalsAgainst","goalsDifference","yellowCards","redCards","note"
"TIER_ONE-2021-1",V.League 1,TIER_ONE,"2021","1","GLA","Hoàng Anh Gia Lai","12","29","9","2","1","23","9","14","25","0",
"TIER_ONE-2021-2",V.League 1,TIER_ONE,"2021","2","VTL","Viettel","12","26","8","2","2","16","9","7","25","1",
"TIER_ONE-2021-3",V.League 1,TIER_ONE,"2021","3","QNI","Than Quảng Ninh","12","19","6","1","5","12","11","1","21","0",
"TIER_ONE-2021-4",V.League 1,TIER_ONE,"2021","4","NAD","Nam Định","12","18","6","0","6","23","21","2","31","2",
"TIER_ONE-2021-5",V.League 1,TIER_ONE,"2021","5","THH","Đông Á Thanh Hóa","12","17","5","2","5","18","15","3","16","0",
"TIER_ONE-2021-6",V.League 1,TIER_ONE,"2021","6","BIDU","Becamex Bình Dương","12","17","5","2","5","14","17","-3","35","1",
"TIER_ONE-2021-7",V.League 1,TIER_ONE,"2021","7","HAN","Hà Nội","12","16","5","1","6","17","14","3","26","1",
"TIER_ONE-2021-8",V.League 1,TIER_ONE,"2021","8","BIDI","Topenland Bình Định","12","16","4","4","4","10","9","1","20","1",
"TIER_ONE-2021-9",V.League 1,TIER_ONE,"2021","9","DAN","SHB Đà Nẵng","12","16","5","1","6","11","11","0","30","0",
"TIER_ONE-2021-10",V.League 1,TIER_ONE,"2021","10","HAT","Hồng Lĩnh Hà Tĩnh","12","15","4","3","5","16","17","-1","19","2",
"TIER_ONE-2021-11",V.League 1,TIER_ONE,"2021","11","HCM","TP Hồ Chí Minh","12","14","4","2","6","14","17","-3","31","3",
"TIER_ONE-2021-12",V.League 1,TIER_ONE,"2021","12","HAP","Hải Phòng","12","14","4","2","6","7","15","-8","22","0",
"TIER_ONE-2021-13",V.League 1,TIER_ONE,"2021","13","SGO","Sài Gòn","12","13","4","1","7","6","14","-8","21","2",
"TIER_ONE-2021-14",V.League 1,TIER_ONE,"2021","14","NAN","Sông Lam Nghệ An","12","10","3","1","8","7","15","-8","22","2",
