"standingId",competition,competitionTier,"season","position","teamId","team","played","points","won","drawn","lost","goals","goalsAgainst","goalsDifference","yellowCards","redCards","note"
"TIER_ONE-2022-1",V.League 1,TIER_ONE,"2022","1","HAP","Hải Phòng","4","8","2","2","0","6","4","2","6","1",
"TIER_ONE-2022-2",V.League 1,TIER_ONE,"2022","2","VTL","Viettel","4","7","2","1","1","6","3","3","11","0",
"TIER_ONE-2022-3",V.League 1,TIER_ONE,"2022","3","NAN","Sông Lam Nghệ An","4","7","2","1","1","5","3","2","10","0",
"TIER_ONE-2022-13",V.League 1,TIER_ONE,"2022","4","HAN","Hà Nội","3","7","2","1","0","2","0","2","6","1",
"TIER_ONE-2022-6",V.League 1,TIER_ONE,"2022","8","BIDI","Topenland Bình Định","3","6","2","0","1","5","4","1","4","1",
"TIER_ONE-2022-4",V.League 1,TIER_ONE,"2022","6","BIDU","Becamex Bình Dương","4","5","1","2","1","4","4","0","9","0",
"TIER_ONE-2022-11",V.League 1,TIER_ONE,"2022","13","THH","Đông Á Thanh Hóa","4","4","1","1","2","4","3","1","5","0",
"TIER_ONE-2022-7",V.League 1,TIER_ONE,"2022","9","HCM","TP Hồ Chí Minh","3","3","0","3","0","1","1","0","7","0",
"TIER_ONE-2022-9",V.League 1,TIER_ONE,"2022","11","GLA","Hoàng Anh Gia Lai","4","3","0","3","1","2","4","-2","7","0",
"TIER_ONE-2022-5",V.League 1,TIER_ONE,"2022","7","DAN","SHB Đà Nẵng","4","3","0","3","1","3","6","-3","5","0",
"TIER_ONE-2022-12",V.League 1,TIER_ONE,"2022","5","SGO","Sài Gòn","3","2","0","2","1","3","5","-2","5","1",
"TIER_ONE-2022-8",V.League 1,TIER_ONE,"2022","10","HAT","Hồng Lĩnh Hà Tĩnh","4","2","0","2","2","2","5","-3","11","0",
"TIER_ONE-2022-10",V.League 1,TIER_ONE,"2022","12","NAD","Nam Định","2","1","0","1","1","1","2","-1","5","0",
