"standingId",competition,competitionTier,"season","position","teamId","team","played","points","won","drawn","lost","goals","goalsAgainst","goalsDifference","yellowCards","redCards","note"
"TIER_ONE-2016-1",V.League 1,TIER_ONE,"2016","1","HAN","Hà Nội","26","50","16","8","2","45","28","17",,,
"TIER_ONE-2016-2",V.League 1,TIER_ONE,"2016","2","HAP","Hải Phòng","26","50","15","6","5","47","32","15",,,
"TIER_ONE-2016-3",V.League 1,TIER_ONE,"2016","3","DAN","SHB Đà Nẵng","26","49","15","7","4","49","33","16",,,
"TIER_ONE-2016-4",V.League 1,TIER_ONE,"2016","4","QNI","Than Quảng Ninh","26","44","13","8","5","39","31","8",,,
"TIER_ONE-2016-5",V.League 1,TIER_ONE,"2016","5","QNA","Quảng Nam","26","42","11","6","9","44","32","12",,,
"TIER_ONE-2016-6",V.League 1,TIER_ONE,"2016","6","THH","Đông Á Thanh Hóa","26","42","12","8","6","51","42","9",,,
"TIER_ONE-2016-7",V.League 1,TIER_ONE,"2016","7","SGO","Sài Gòn","26","36","9","8","9","34","32","2",,,
"TIER_ONE-2016-8",V.League 1,TIER_ONE,"2016","8","KHH","Khánh Hòa","26","36","10","10","6","34","30","4",,,
"TIER_ONE-2016-9",V.League 1,TIER_ONE,"2016","9","NAN","Sông Lam Nghệ An","26","34","9","10","7","34","36","-2",,,
"TIER_ONE-2016-10",V.League 1,TIER_ONE,"2016","10","BIDU","Becamex Bình Dương","26","34","9","10","7","39","37","2",,,
"TIER_ONE-2016-11",V.League 1,TIER_ONE,"2016","11","CAT","Cần Thơ","26","34","10","12","4","37","36","1",,,
"TIER_ONE-2016-12",V.League 1,TIER_ONE,"2016","12","GLA","Hoàng Anh Gia Lai","26","30","9","14","3","39","50","-11",,,
"TIER_ONE-2016-13",V.League 1,TIER_ONE,"2016","13","LAN","Long An","26","19","5","17","4","34","62","-28",,,
"TIER_ONE-2016-14",V.League 1,TIER_ONE,"2016","14","DOT","Đồng Tháp","26","8","1","20","5","22","67","-45",,,
