"standingId",competition,competitionTier,"season","position","teamId","team","played","points","won","drawn","lost","goals","goalsAgainst","goalsDifference","yellowCards","redCards","note"
"TIER_ONE-2019-1",V.League 1,TIER_ONE,"2019","1","HAN","Hà Nội","26","53","15","8","3","60","30","30","40","3",
"TIER_ONE-2019-2",V.League 1,TIER_ONE,"2019","2","HCM","TP Hồ Chí Minh","26","48","14","6","6","41","29","12","34","2",
"TIER_ONE-2019-3",V.League 1,TIER_ONE,"2019","3","QNI","Than Quảng Ninh","26","39","10","9","7","41","33","8","59","3",
"TIER_ONE-2019-4",V.League 1,TIER_ONE,"2019","4","BIDU","Becamex Bình Dương","26","36","10","6","10","32","32","0","46","1",
"TIER_ONE-2019-5",V.League 1,TIER_ONE,"2019","5","SGO","Sài Gòn","26","36","10","6","10","37","40","-3","39","2",
"TIER_ONE-2019-6",V.League 1,TIER_ONE,"2019","6","VTL","Viettel","26","36","11","3","12","33","40","-7","39","4",
"TIER_ONE-2019-7",V.League 1,TIER_ONE,"2019","7","NAN","Sông Lam Nghệ An","26","35","8","11","7","32","26","6","35","2",
"TIER_ONE-2019-8",V.League 1,TIER_ONE,"2019","8","GLA","Hoàng Anh Gia Lai","26","35","10","5","11","45","46","-1","25","1",
"TIER_ONE-2019-9",V.League 1,TIER_ONE,"2019","9","QNA","Quảng Nam","26","34","8","10","8","43","38","5","39","2",
"TIER_ONE-2019-10",V.League 1,TIER_ONE,"2019","10","DAN","SHB Đà Nẵng","26","33","9","6","11","38","38","0","34","3",
"TIER_ONE-2019-11",V.League 1,TIER_ONE,"2019","11","NAD","Nam Định","26","31","8","7","11","32","41","-9","48","1",
"TIER_ONE-2019-12",V.League 1,TIER_ONE,"2019","12","HAP","Hải Phòng","26","30","8","6","12","33","44","-11","50","4",
"TIER_ONE-2019-13",V.League 1,TIER_ONE,"2019","13","THH","Đông Á Thanh Hóa","26","26","6","8","12","36","52","-16","37","2",
"TIER_ONE-2019-14",V.League 1,TIER_ONE,"2019","14","KHH","Khánh Hòa","26","25","6","7","13","31","45","-14","43","2",
