"standingId",competition,competitionTier,"season","position","teamId","team","played","points","won","drawn","lost","goals","goalsAgainst","goalsDifference","yellowCards","redCards","note"
"TIER_ONE-2017-1",V.League 1,TIER_ONE,"2017","1","QNA","Quảng Nam","26","48","13","4","9","46","32","14",,,
"TIER_ONE-2017-2",V.League 1,TIER_ONE,"2017","2","THH","Đông Á Thanh Hóa","26","48","13","4","9","43","28","15",,,
"TIER_ONE-2017-3",V.League 1,TIER_ONE,"2017","3","HAN","Hà Nội","26","46","12","4","10","54","31","23",,,
"TIER_ONE-2017-4",V.League 1,TIER_ONE,"2017","4","QNI","Than Quảng Ninh","26","43","12","7","7","42","34","8",,,
"TIER_ONE-2017-5",V.League 1,TIER_ONE,"2017","5","SGO","Sài Gòn","26","43","11","5","10","40","29","11",,,
"TIER_ONE-2017-6",V.League 1,TIER_ONE,"2017","6","KHH","Khánh Hòa","26","41","11","7","8","38","37","1",,,
"TIER_ONE-2017-7",V.League 1,TIER_ONE,"2017","7","HAP","Hải Phòng","26","38","11","10","5","34","32","2",,,
"TIER_ONE-2017-8",V.League 1,TIER_ONE,"2017","8","NAN","Sông Lam Nghệ An","26","34","8","8","10","36","36","0",,,
"TIER_ONE-2017-9",V.League 1,TIER_ONE,"2017","9","DAN","SHB Đà Nẵng","26","33","8","9","9","36","34","2",,,
"TIER_ONE-2017-10",V.League 1,TIER_ONE,"2017","10","GLA","Hoàng Anh Gia Lai","26","30","9","14","3","34","43","-9",,,
"TIER_ONE-2017-11",V.League 1,TIER_ONE,"2017","11","BIDU","Becamex Bình Dương","26","30","6","8","12","34","30","4",,,
"TIER_ONE-2017-12",V.League 1,TIER_ONE,"2017","12","HCM","TP Hồ Chí Minh","26","25","6","13","7","29","46","-17",,,
"TIER_ONE-2017-13",V.League 1,TIER_ONE,"2017","13","CAT","Cần Thơ","26","22","5","14","7","32","50","-18",,,
"TIER_ONE-2017-14",V.League 1,TIER_ONE,"2017","14","LAN","Long An","26","10","2","20","4","30","66","-36",,,
