"standingId",competition,competitionTier,"season","position","teamId","team","played","points","won","drawn","lost","goals","goalsAgainst","goalsDifference","yellowCards","redCards","note"
"TIER_ONE-2012-1",V.League 1,TIER_ONE,"2012","1","DAN","SHB Đà Nẵng","26","48","14","6","6","47","31","16",,,
"TIER_ONE-2012-2",V.League 1,TIER_ONE,"2012","2","HAN","Hà Nội","26","47","13","5","8","43","35","8",,,
"TIER_ONE-2012-3",V.League 1,TIER_ONE,"2012","3",,"Xuân Thành Sài Gòn","26","46","12","4","10","43","23","20",,,
"TIER_ONE-2012-4",V.League 1,TIER_ONE,"2012","4","NAN","Sông Lam Nghệ An","26","41","9","3","14","45","31","14",,,
"TIER_ONE-2012-5",V.League 1,TIER_ONE,"2012","5","GLA","Hoàng Anh Gia Lai","26","39","11","9","6","33","33","0",,,
"TIER_ONE-2012-6",V.League 1,TIER_ONE,"2012","6","BIDU","Becamex Bình Dương","26","36","10","10","6","32","31","1",,,
"TIER_ONE-2012-7",V.League 1,TIER_ONE,"2012","7",,"Navibank Sài Gòn","26","35","8","7","11","32","30","2",,,
"TIER_ONE-2012-8",V.League 1,TIER_ONE,"2012","8",,"XM The Vissai Ninh Bình","26","33","10","13","3","40","49","-9",,,
"TIER_ONE-2012-9",V.League 1,TIER_ONE,"2012","9",,"Bóng Đá Hà Nội","26","32","9","12","5","46","47","-1",,,
"TIER_ONE-2012-10",V.League 1,TIER_ONE,"2012","10",,"Kienlongbank Kiên Giang","26","32","9","12","5","30","39","-9",,,
"TIER_ONE-2012-11",V.League 1,TIER_ONE,"2012","11","THH","Đông Á Thanh Hóa","26","32","9","12","5","32","36","-4",,,
"TIER_ONE-2012-12",V.League 1,TIER_ONE,"2012","12","KHH","Khatoco Khánh Hòa","26","32","9","12","5","34","35","-1",,,
"TIER_ONE-2012-13",V.League 1,TIER_ONE,"2012","13","DOT","Đồng Tháp","26","30","7","10","9","31","37","-6",,,
"TIER_ONE-2012-14",V.League 1,TIER_ONE,"2012","14","HAP","Hải Phòng","26","14","3","18","5","27","58","-31",,,
