"standingId",competition,competitionTier,"season","position","teamId","team","played","points","won","drawn","lost","goals","goalsAgainst","goalsDifference","yellowCards","redCards","note"
"TIER_CUP-2019-1",National Cup,TIER_CUP,"2019","1","HAN","Hà Nội",,,,,,,,,,,
"TIER_CUP-2019-2",National Cup,TIER_CUP,"2019","2","QNA","Quảng Nam",,,,,,,,,,,
"TIER_CUP-2019-3",National Cup,TIER_CUP,"2019","3","HCM","TP Hồ Chí Minh",,,,,,,,,,,
"TIER_CUP-2019-4",National Cup,TIER_CUP,"2019","4","BIDU","Becamex Bình Dương",,,,,,,,,,,
