"standingId",competition,competitionTier,"season","position","teamId","team","played","points","won","drawn","lost","goals","goalsAgainst","goalsDifference","yellowCards","redCards","note"
"TIER_CUP-2014-1",National Cup,TIER_CUP,"2014","1","HAP","Hải Phòng",,,,,,,,,,,
"TIER_CUP-2014-2",National Cup,TIER_CUP,"2014","2","BIDU","Becamex Bình Dương",,,,,,,,,,,
"TIER_CUP-2014-3",National Cup,TIER_CUP,"2014","3","LAN","Long An",,,,,,,,,,,
"TIER_CUP-2014-4",National Cup,TIER_CUP,"2014","4","GLA","Hoàng Anh Gia Lai",,,,,,,,,,,
