"standingId",competition,competitionTier,"season","position","teamId","team","played","points","won","drawn","lost","goals","goalsAgainst","goalsDifference","yellowCards","redCards","note"
"TIER_CUP-2017-1",National Cup,TIER_CUP,"2017","1","NAN","Sông Lam Nghệ An",,,,,,,,,,,
"TIER_CUP-2017-2",National Cup,TIER_CUP,"2017","2","BIDU","Becamex Bình Dương",,,,,,,,,,,
"TIER_CUP-2017-3",National Cup,TIER_CUP,"2017","3","QNA","Quảng Nam",,,,,,,,,,,
"TIER_CUP-2017-4",National Cup,TIER_CUP,"2017","4","DAN","SHB Đà Nẵng",,,,,,,,,,,
