"standingId",competition,competitionTier,"season","position","teamId","team","played","points","won","drawn","lost","goals","goalsAgainst","goalsDifference","yellowCards","redCards","note"
"TIER_CUP-2013-1",National Cup,TIER_CUP,"2013","1","NIB","XM The Vissai Ninh Bình",,,,,,,,,,,
"TIER_CUP-2013-2",National Cup,TIER_CUP,"2013","2","DAN","SHB Đà Nẵng",,,,,,,,,,,
"TIER_CUP-2013-3",National Cup,TIER_CUP,"2013","3","LAN","Long An",,,,,,,,,,,
"TIER_CUP-2013-4",National Cup,TIER_CUP,"2013","4","DON","Đồng Nai",,,,,,,,,,,
