"standingId",competition,competitionTier,"season","position","teamId","team","played","points","won","drawn","lost","goals","goalsAgainst","goalsDifference","yellowCards","redCards","note"
"TIER_CUP-2016-1",National Cup,TIER_CUP,"2016","1","QNI","Than Quảng Ninh",,,,,,,,,,,
"TIER_CUP-2016-2",National Cup,TIER_CUP,"2016","2","HAN","Hà Nội",,,,,,,,,,,
"TIER_CUP-2016-3",National Cup,TIER_CUP,"2016","3","BIDU","Becamex Bình Dương",,,,,,,,,,,
"TIER_CUP-2016-4",National Cup,TIER_CUP,"2016","4","QNA","Quảng Nam",,,,,,,,,,,
