"standingId",competition,competitionTier,"season","position","teamId","team","played","points","won","drawn","lost","goals","goalsAgainst","goalsDifference","yellowCards","redCards","note"
"TIER_CUP-2015-1",National Cup,TIER_CUP,"2015","1","BIDU","Becamex Bình Dương",,,,,,,,,,,
"TIER_CUP-2015-2",National Cup,TIER_CUP,"2015","2","HAN","Hà Nội",,,,,,,,,,,
"TIER_CUP-2015-3",National Cup,TIER_CUP,"2015","3","LAN","Long An",,,,,,,,,,,
"TIER_CUP-2015-4",National Cup,TIER_CUP,"2015","4","HAP","Hải Phòng",,,,,,,,,,,
